operation, CNOT count, 1-qubit Clifford count, T count, R count, M count, Full depth, Full width, max width, initial width, extra width, comment , first arg, second arg
SimonResourceWrappers.RankResourceEstimate, 412784, 72320, 247672, 0, 1485, 9288, 1785,1785,  0, 1785, , 11, 134
SimonResourceWrappers.RankResourceEstimate, 511348, 89580, 306808, 0, 1837, 11208, 2169,2169,  0, 2169, , 11, 166
SimonResourceWrappers.RankResourceEstimate, 560628, 98204, 336376, 0, 2013, 12169, 2361,2361,  0, 2361, , 11, 182
SimonResourceWrappers.RankResourceEstimate, 634543, 111125, 380728, 0, 2277, 13608, 2649,2649,  0, 2649, , 11, 206
SimonResourceWrappers.RankResourceEstimate, 412786, 72326, 247672, 0, 1485, 9288, 1785,1785,  0, 1785, , 11, 134
SimonResourceWrappers.RankResourceEstimate, 511347, 89577, 306808, 0, 1837, 11208, 2169,2169,  0, 2169, , 11, 166
SimonResourceWrappers.RankResourceEstimate, 560628, 98204, 336376, 0, 2013, 12168, 2361,2361,  0, 2361, , 11, 182
SimonResourceWrappers.RankResourceEstimate, 634546, 111134, 380728, 0, 2277, 13608, 2649,2649,  0, 2649, , 11, 206
SimonResourceWrappers.RankResourceEstimate, 7512885, 1267563, 4412540, 0, 6480, 14047, 9999,9999,  0, 9999, , 48, 134
SimonResourceWrappers.RankResourceEstimate, 8147522, 1373978, 4783996, 0, 6750, 14307, 10560,10560,  0, 10560, , 50, 134
SimonResourceWrappers.RankResourceEstimate, 8474483, 1428777, 4975352, 0, 6885, 14436, 10845,10845,  0, 10845, , 51, 134
SimonResourceWrappers.RankResourceEstimate, 8925794, 1506246, 5243128, 0, 7849, 15837, 11259,11259,  0, 11259, , 47, 166
SimonResourceWrappers.RankResourceEstimate, 15980224, 2688288, 9370616, 0, 10521, 17916, 16547,16547,  0, 16547, , 63, 166
SimonResourceWrappers.RankResourceEstimate, 9786079, 1651373, 5748472, 0, 8601, 16796, 12027,12027,  0, 12027, , 47, 182
SimonResourceWrappers.RankResourceEstimate, 20396086, 3428798, 11955484, 0, 12444, 19532, 19461,19461,  0, 19461, , 68, 182
SimonResourceWrappers.RankResourceEstimate, 28807525, 4838411, 16877468, 0, 15732, 22028, 24489,24489,  0, 24489, , 76, 206
SimonResourceWrappers.RankResourceEstimate, 7512877, 1267539, 4412540, 0, 6480, 14044, 9999,9999,  0, 9999, , 48, 134
SimonResourceWrappers.RankResourceEstimate, 8474487, 1428789, 4975352, 0, 6885, 14437, 10845,10845,  0, 10845, , 51, 134
SimonResourceWrappers.RankResourceEstimate, 8147519, 1373969, 4783996, 0, 6750, 14307, 10560,10560,  0, 10560, , 50, 134
SimonResourceWrappers.RankResourceEstimate, 8925790, 1506234, 5243128, 0, 7849, 15837, 11259,11259,  0, 11259, , 47, 166
SimonResourceWrappers.RankResourceEstimate, 15980227, 2688297, 9370616, 0, 10521, 17917, 16547,16547,  0, 16547, , 63, 166
SimonResourceWrappers.RankResourceEstimate, 9786075, 1651361, 5748472, 0, 8601, 16797, 12027,12027,  0, 12027, , 47, 182
SimonResourceWrappers.RankResourceEstimate, 20396079, 3428777, 11955484, 0, 12444, 19532, 19461,19461,  0, 19461, , 68, 182
SimonResourceWrappers.RankResourceEstimate, 28807524, 4838408, 16877468, 0, 15732, 22031, 24489,24489,  0, 24489, , 76, 206
SimonResourceWrappers.RankResourceEstimate, 7512887, 1267569, 4412540, 0, 6480, 14044, 9999,9999,  0, 9999, , 48, 134
SimonResourceWrappers.RankResourceEstimate, 8147519, 1373969, 4783996, 0, 6750, 14307, 10560,10560,  0, 10560, , 50, 134
SimonResourceWrappers.RankResourceEstimate, 8474485, 1428783, 4975352, 0, 6885, 14437, 10845,10845,  0, 10845, , 51, 134
SimonResourceWrappers.RankResourceEstimate, 8925790, 1506234, 5243128, 0, 7849, 15836, 11259,11259,  0, 11259, , 47, 166
SimonResourceWrappers.RankResourceEstimate, 15980228, 2688300, 9370616, 0, 10521, 17917, 16547,16547,  0, 16547, , 63, 166
SimonResourceWrappers.RankResourceEstimate, 9786075, 1651361, 5748472, 0, 8601, 16797, 12027,12027,  0, 12027, , 47, 182
SimonResourceWrappers.RankResourceEstimate, 20396087, 3428801, 11955484, 0, 12444, 19532, 19461,19461,  0, 19461, , 68, 182
SimonResourceWrappers.RankResourceEstimate, 28807532, 4838432, 16877468, 0, 15732, 22031, 24489,24489,  0, 24489, , 76, 206