operation, CNOT count, 1-qubit Clifford count, T count, R count, M count, T depth, Full width, max width, initial width, extra width, comment , first arg, second arg
SimonResourceWrappers.RankResourceEstimate, 412785, 72323, 247672, 0, 1485, 3070, 1785,1785,  0, 1785, , 11, 134
SimonResourceWrappers.RankResourceEstimate, 511346, 89574, 306808, 0, 1837, 3710, 2169,2169,  0, 2169, , 11, 166
SimonResourceWrappers.RankResourceEstimate, 560627, 98201, 336376, 0, 2013, 4030, 2361,2361,  0, 2361, , 11, 182
SimonResourceWrappers.RankResourceEstimate, 634545, 111131, 380728, 0, 2277, 4510, 2649,2649,  0, 2649, , 11, 206
SimonResourceWrappers.RankResourceEstimate, 412785, 72323, 247672, 0, 1485, 3070, 1785,1785,  0, 1785, , 11, 134
SimonResourceWrappers.RankResourceEstimate, 511346, 89574, 306808, 0, 1837, 3710, 2169,2169,  0, 2169, , 11, 166
SimonResourceWrappers.RankResourceEstimate, 560626, 98198, 336376, 0, 2013, 4030, 2361,2361,  0, 2361, , 11, 182
SimonResourceWrappers.RankResourceEstimate, 634547, 111137, 380728, 0, 2277, 4510, 2649,2649,  0, 2649, , 11, 206
SimonResourceWrappers.RankResourceEstimate, 7512879, 1267545, 4412540, 0, 6480, 4513, 9999,9999,  0, 9999, , 48, 134
SimonResourceWrappers.RankResourceEstimate, 8147516, 1373960, 4783996, 0, 6750, 4591, 10560,10560,  0, 10560, , 50, 134
SimonResourceWrappers.RankResourceEstimate, 8925788, 1506228, 5243128, 0, 7849, 5114, 11259,11259,  0, 11259, , 47, 166
SimonResourceWrappers.RankResourceEstimate, 8474479, 1428765, 4975352, 0, 6885, 4630, 10845,10845,  0, 10845, , 51, 134
SimonResourceWrappers.RankResourceEstimate, 15980226, 2688294, 9370616, 0, 10521, 5738, 16547,16547,  0, 16547, , 63, 166
SimonResourceWrappers.RankResourceEstimate, 9786077, 1651367, 5748472, 0, 8601, 5434, 12027,12027,  0, 12027, , 47, 182
SimonResourceWrappers.RankResourceEstimate, 20396087, 3428801, 11955484, 0, 12444, 6253, 19461,19461,  0, 19461, , 68, 182
SimonResourceWrappers.RankResourceEstimate, 28807528, 4838420, 16877468, 0, 15732, 7045, 24489,24489,  0, 24489, , 76, 206
SimonResourceWrappers.RankResourceEstimate, 8147517, 1373963, 4783996, 0, 6750, 4591, 10560,10560,  0, 10560, , 50, 134
SimonResourceWrappers.RankResourceEstimate, 8474484, 1428780, 4975352, 0, 6885, 4630, 10845,10845,  0, 10845, , 51, 134
SimonResourceWrappers.RankResourceEstimate, 8925794, 1506246, 5243128, 0, 7849, 5114, 11259,11259,  0, 11259, , 47, 166
SimonResourceWrappers.RankResourceEstimate, 7512880, 1267548, 4412540, 0, 6480, 4513, 9999,9999,  0, 9999, , 48, 134
SimonResourceWrappers.RankResourceEstimate, 15980224, 2688288, 9370616, 0, 10521, 5738, 16547,16547,  0, 16547, , 63, 166
SimonResourceWrappers.RankResourceEstimate, 9786074, 1651358, 5748472, 0, 8601, 5434, 12027,12027,  0, 12027, , 47, 182
SimonResourceWrappers.RankResourceEstimate, 20396083, 3428789, 11955484, 0, 12444, 6253, 19461,19461,  0, 19461, , 68, 182
SimonResourceWrappers.RankResourceEstimate, 28807533, 4838435, 16877468, 0, 15732, 7045, 24489,24489,  0, 24489, , 76, 206
SimonResourceWrappers.RankResourceEstimate, 7512888, 1267572, 4412540, 0, 6480, 4513, 9999,9999,  0, 9999, , 48, 134
SimonResourceWrappers.RankResourceEstimate, 8147519, 1373969, 4783996, 0, 6750, 4591, 10560,10560,  0, 10560, , 50, 134
SimonResourceWrappers.RankResourceEstimate, 8925786, 1506222, 5243128, 0, 7849, 5114, 11259,11259,  0, 11259, , 47, 166
SimonResourceWrappers.RankResourceEstimate, 8474493, 1428807, 4975352, 0, 6885, 4630, 10845,10845,  0, 10845, , 51, 134
SimonResourceWrappers.RankResourceEstimate, 15980230, 2688306, 9370616, 0, 10521, 5738, 16547,16547,  0, 16547, , 63, 166
SimonResourceWrappers.RankResourceEstimate, 9786074, 1651358, 5748472, 0, 8601, 5434, 12027,12027,  0, 12027, , 47, 182
SimonResourceWrappers.RankResourceEstimate, 20396084, 3428792, 11955484, 0, 12444, 6253, 19461,19461,  0, 19461, , 68, 182
SimonResourceWrappers.RankResourceEstimate, 28807528, 4838420, 16877468, 0, 15732, 7045, 24489,24489,  0, 24489, , 76, 206